"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "XML", "PostCSS", "TypeScript JSX", "Diff", "JSON", "TypeScript", "MS SQL", "comment", "blank", "total"
"c:\Users\codye\forge\backend\scripts\add-comments-system.js", "JavaScript", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 138
"c:\Users\codye\forge\backend\scripts\add-email-verification.js", "JavaScript", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 13, 23, 127
"c:\Users\codye\forge\backend\scripts\add-extended-profile-fields.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 61
"c:\Users\codye\forge\backend\scripts\add-file-versions.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 60
"c:\Users\codye\forge\backend\scripts\add-follow-requests.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 31
"c:\Users\codye\forge\backend\scripts\add-messaging-notifications.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 70
"c:\Users\codye\forge\backend\scripts\add-oauth-support.js", "JavaScript", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 15, 23, 163
"c:\Users\codye\forge\backend\scripts\add-ownership-transfer.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 93
"c:\Users\codye\forge\backend\scripts\add-private-accounts.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 29
"c:\Users\codye\forge\backend\scripts\add-profile-columns.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\codye\forge\backend\scripts\add-profile-fields.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\codye\forge\backend\scripts\add-project-dimensions.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
