"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "Markdown", "XML", "JSON", "MS SQL", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\codye\forge\components\CADViewer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 349, 0, 32, 45, 426
"c:\Users\codye\forge\components\CADViewerModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 82, 0, 4, 8, 94
"c:\Users\codye\forge\components\ChangeRoleModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 138, 0, 1, 17, 156
"c:\Users\codye\forge\components\CommentSystem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 380, 0, 10, 36, 426
"c:\Users\codye\forge\components\ConfirmationModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 6, 101
"c:\Users\codye\forge\components\CreateFolderModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 11, 130
"c:\Users\codye\forge\components\FolderCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 162, 0, 0, 10, 172
"c:\Users\codye\forge\components\HistoryModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 12, 182
"c:\Users\codye\forge\components\InvitationsNotification.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 105, 0, 1, 9, 115
"c:\Users\codye\forge\components\InviteMemberModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 9, 91
"c:\Users\codye\forge\components\Layout.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 1, 13
"c:\Users\codye\forge\components\MoveFolderModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 174, 0, 1, 17, 192
"c:\Users\codye\forge\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 207, 0, 9, 17, 233
"c:\Users\codye\forge\components\NotificationsDropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 229, 0, 9, 17, 255
"c:\Users\codye\forge\components\ProjectCard.js", "JavaScript", 0, 0, 155, 0, 0, 0, 0, 0, 0, 4, 13, 172
"c:\Users\codye\forge\components\RenameModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 12, 107
"c:\Users\codye\forge\components\ThreeDViewer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 128, 0, 40, 17, 185
