"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "XML", "PostCSS", "JSON", "Diff", "TypeScript", "TypeScript JSX", "MS SQL", "comment", "blank", "total"
"c:\Users\codye\forge\backend\lib\cad\dimension-integration.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 366, 0, 41, 28, 435
"c:\Users\codye\forge\backend\lib\cad\dimension-manager.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 292, 0, 0, 61, 48, 401
"c:\Users\codye\forge\backend\lib\cad\draft-analysis-helpers.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 36, 24, 150
"c:\Users\codye\forge\backend\lib\cad\draft-analysis.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 349, 0, 0, 60, 53, 462
"c:\Users\codye\forge\backend\lib\cad\drawing-exporters.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 700, 0, 0, 161, 113, 974
"c:\Users\codye\forge\backend\lib\cad\drawing-system.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 626, 0, 0, 88, 128, 842
"c:\Users\codye\forge\backend\lib\cad\edge-highlighter.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 45, 41, 251
"c:\Users\codye\forge\backend\lib\cad\exploded-view.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 531, 0, 0, 137, 107, 775
"c:\Users\codye\forge\backend\lib\cad\face-operations.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 419, 0, 0, 59, 91, 569
"c:\Users\codye\forge\backend\lib\cad\feature-tree.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 531, 0, 0, 109, 126, 766
"c:\Users\codye\forge\backend\lib\cad\gdt-symbols.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 304, 0, 0, 51, 38, 393
