"filename", "language", "JavaScript", "TypeScript JSX", "TypeScript", "JSON with Comments", "MS SQL", "JSON", "Markdown", "XML", "PostCSS", "Diff", "comment", "blank", "total"
"/Users/user/Documents/BlueprintCAD/backend/api/projects/[id]/index.js", "JavaScript", 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 33, 229
"/Users/user/Documents/BlueprintCAD/backend/api/projects/[id]/like.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 55
"/Users/user/Documents/BlueprintCAD/backend/api/projects/[id]/rename.ts", "TypeScript", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 7, 17, 102
"/Users/user/Documents/BlueprintCAD/backend/api/projects/[id]/restore-version.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 7, 15, 83
"/Users/user/Documents/BlueprintCAD/backend/api/projects/[id]/upload-version.ts", "TypeScript", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 12, 27, 173
"/Users/user/Documents/BlueprintCAD/backend/api/projects/[id]/versions.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 4, 8, 56
"/Users/user/Documents/BlueprintCAD/backend/api/projects/estimate.js", "JavaScript", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18, 156
"/Users/user/Documents/BlueprintCAD/backend/api/projects/index.js", "JavaScript", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 20, 181
"/Users/user/Documents/BlueprintCAD/backend/api/projects/move.ts", "TypeScript", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 8, 18, 116
"/Users/user/Documents/BlueprintCAD/backend/api/projects/starred.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 49
"/Users/user/Documents/BlueprintCAD/backend/api/quote/analyze.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24, 134
"/Users/user/Documents/BlueprintCAD/backend/api/rename-move-history/[entityType]/[entityId].ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 8, 42
"/Users/user/Documents/BlueprintCAD/backend/api/stats.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 23
